City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,northam,51.0333,-4.2167,14.25,97,100,5.57,GB,1701020325
322,tambura,5.6,27.4667,22.9,89,95,1.98,SS,1701020326
323,salem,11.65,78.1667,22.19,93,78,0.94,IN,1701020090
324,kerch,45.3583,36.4758,10.31,76,98,13.41,UA,1701020028
325,vila velha,-20.3297,-40.2925,25.97,76,75,6.17,BR,1701020328
326,vanimo,-2.6741,141.3028,24.85,91,100,0.49,PG,1701020328
327,nanao,37.05,136.9667,7.96,89,100,2.8,JP,1701020329
328,el granada,37.5027,-122.4694,14.16,47,0,5.14,US,1701020330
329,stephenville,32.2207,-98.2023,7.36,56,0,6.69,US,1701020330
330,isla vista,34.4133,-119.861,19.32,38,0,0.45,US,1701020331
331,vallenar,-28.5708,-70.7581,24.77,17,0,5.27,CL,1701020332
332,pakse,15.1167,105.7833,21.72,92,31,1.51,LA,1701020332
333,hailin,44.5833,129.4167,-13.06,94,100,0.73,CN,1701020333
334,kaa-khem,51.6833,94.7333,-15.89,95,84,1.58,RU,1701020334
335,cascais,38.6979,-9.4215,16.95,74,75,6.26,PT,1701020334
336,zachary,30.6485,-91.1565,17.86,77,40,3.09,US,1701020207
337,kuraymah,18.55,31.85,31.39,21,70,5.16,SD,1701020336
338,sassnitz,54.5167,13.65,1.0,58,92,6.63,DE,1701020337
339,okha,53.5739,142.9478,-12.37,90,100,12.46,RU,1701020338
340,kapa'a,22.0752,-159.319,24.18,87,20,6.17,US,1701020338
341,palo santo,-25.5633,-59.3378,29.78,64,93,1.94,AR,1701020339
342,miyako,39.6367,141.9525,6.26,88,83,2.6,JP,1701020340
343,kalmunai,7.4167,81.8167,25.51,89,81,0.96,LK,1701020341
344,vorkuta,67.5,64.0,-15.29,97,94,2.98,RU,1701020341
345,kangding,30.0513,101.9603,3.59,36,0,4.04,CN,1701020343
346,axim,4.8699,-2.2405,26.26,82,90,4.25,GH,1701020344
347,port alfred,-33.5906,26.891,22.32,92,19,1.79,ZA,1701020345
348,buenavista,8.9769,125.4089,24.23,91,15,2.04,PH,1701020346
349,benemerito de las americas,16.5167,-90.6439,29.97,60,70,1.6,MX,1701020347
350,amursk,50.2261,136.8994,-17.23,84,6,5.6,RU,1701020347
351,cruzeiro do sul,-29.5128,-51.9853,31.38,54,23,2.41,BR,1701020348
352,taybad,34.74,60.7756,15.57,55,100,9.88,IR,1701020349
353,tilcara,-23.5776,-65.3509,11.67,81,86,4.14,AR,1701020350
354,paita,-5.0892,-81.1144,23.87,68,6,6.91,PE,1701020351
355,port lincoln,-34.7333,135.8667,14.8,75,73,9.13,AU,1701020352
356,dakhla,23.6848,-15.958,21.01,68,0,8.75,EH,1701020353
357,naze,28.3667,129.4833,19.51,75,30,1.42,JP,1701020354
358,borogontsy,62.6683,131.1683,-32.81,95,100,2.19,RU,1701020354
359,balabac,7.9868,117.0645,27.58,81,100,5.02,PH,1701020355
360,kedrovyy,56.1667,91.8167,-13.77,93,82,1.63,RU,1701020356
361,malpica,43.3228,-8.8105,12.99,79,100,2.78,ES,1701020357
362,parambu,-6.2111,-40.6944,34.96,20,0,2.56,BR,1701020359
363,terme,41.2092,36.9739,10.96,59,84,7.1,TR,1701020360
364,richards bay,-28.783,32.0377,22.82,89,3,1.55,ZA,1701020360
365,tocoa,15.6833,-86.0,30.79,46,17,1.3,HN,1701020361
366,villa gesell,-37.2639,-56.973,27.01,43,3,7.22,AR,1701020362
